,CONTENT,CLASS
0,subscribe please inst gram account subscribe back inst gram com corine hormel,1
1,love much also generate free lead auto pilot amp we lead rate com more traffic,1
2,we billboard com article column pop shop fan army face round vote sone please via please help a it it,1
3,hey guy please join fight help abused mistreated animal fund go helping pay vet bill helping find home place extra emphasis helping disabled animal one otherwise would put sleep animal organization donate please we found me com angel a wing,1
4,is boss com ref top pm a song,1
5,hey everyone watch trailer believe film com her a hub of,1
6,check rapping hope guy like sound cloud com hereby call lost produce atlas atlas rapper work follow message,1
7,hey guy visit channel please searching dream,1
8,nice we barnes noble com bop car token time cnkcosoqkemgjlu we is so amp sort do amp size amp car token item new nylon a amhvmflutggl amp ref amp keyword bop amp store book,1
9,we twitch to a conform,1
10,hey guy glamour beauty started youtube channel please go check going post singing video also random video fell like please go subscribe come soon remember subscribe,1
11,hey guy mon said got sub christmas get kitten always wanted kitten please watch video like subscribe like please mean comment,1
12,we facebook com photo pop bid amp a a,1
13,we facebook com photo pop a amp set of amp type amp theatre,1
14,sound cloud com arcady please check stuff make feedback,1
15,take break katie help reach subscriber month new music free downloads,1
16,subscribe please,1
17,check cover video coming please subscribe,1
18,subscribe channel,1
19,hey guy small youtube upload video nearly every single day hope like shias please give min life view channel new video watch anime free pretty sure wont regret visiting channel thank,1
20,we ref to emission detail voice belg que routes be audition audition detail emission id amp id please join voice liked shared please win audition score thanks much,1
21,katy perry a sit face please would really awesome give dollar of want please call subscribe channel first of that good a sit face ill get erection sit a,1
22,top youtube top view miles cyrus we google to urls a amp act a amp a amp eur amp source web amp cd amp red cd of a amp urls of fen wikipedia org wiki list viewed youtube video amp i of you dec a yoko goal amp us afqjcngkm ideal kuvkoekvgdtt july amp sig on had a cube nil a amp bpm by by amp cad raj,1
23,we amazon com knight dawn cursed daniel a book do a mph i ref or digital text amp be uhf amp bid amp bar amp keywords knight amp tag watt pad people talented talented sponsor,1
24,really love video we bubbles com account she len,1
25,hi guy check awesome dem amp house mix thanks lot sound cloud com sound are dem house mix,1
26,hiya started youtube would mean lot could subscribe watch first video xxx,1
27,watch maroon latest and single a always we youtube com watch a to frau,1
28,help please we found me com animal care,1
29,we media fire com download lvov as a zero video car download make money today,1
30,we ebay com it page name str myself amp trifid a a,1
31,it script it document write it target self rover ebay com rover ice of amp pub amp tooled amp camped amp custom id bog dan grig ore amp in main amp ice vectored amp kid amp mid amp kwh la it check new drive ebay it it it imp style text decoration none border padding margin sec rover ebay com rover imp of amp pub amp tooled amp camped amp custom id bog dan grig ore amp met match floor match random it it script it it no script it it target self rover ebay com rover ice of amp pub amp tooled amp camped amp custom id bog dan grig ore amp in main amp ice vectored amp kid amp mid amp kwh la it check new drive ebay it it it imp style text decoration none border padding margin sec rover ebay com rover imp of amp pub amp tooled amp camped amp custom id bog dan grig ore amp met cache buster it it no script it,1
32,vote terry mtg via best lyric video see lead vote mtg com it kex,1
33,we facebook com page a and a a music,1
34,hello marian singer venezuela part boy girl band named cubic singing cause wanted play pop pop rock song would mean lot could look channel check music watch new video a like subscribe too thanks a like lot channel share friend hama low marian,1
35,katy perry remind tiger like spirit animal it,0
36,south american jungle jungle matter find african elephant bengal tiger place made video,0
37,gag com gag have we,1
38,i a rapper trying get notice please check mix tape ratliff com mix tapes detail pop id,1
39,good song like video clip bout girl air lane crashed land far far away found way survive love pet tight kitty puppy low,0
40,help click subscribe mai nguyen thank,1
41,even without make still hot us online com vol image entire site reg katy up my mpg,1
42,thanks video know nokia phone survive plane crash,0
43,we bubbles com news ups solution,1
44,true detective alternate ending we funny die com video feb true defectives,1
45,new makeup transformation integrated look like feature available over know look like install update version makeup transformation play google com store apps detail id com your link makeup transformation visit google play,1
46,named tiger kitty perry seriously check video,0
47,perfect it,0
48,video end it boa constrictor squeeze death,0
49,paused music clip movie,0
50,hi twin melody year old twin cover cover birthday katy perry please take second watch thanks mercy gratis dance brigade gracie it xxx nice day,1
51,nice sabre sura viva sound cloud com yer i eli migrant yer i my move body,1
52,hey guy go check video name grow topic story,1
53,short com a he we a,1
54,may in the commenter crazy please donate bit coins phenix two a ptayiejnealahzvem,1
55,short com a a in cd,1
56,love song empowering every woman gonna hear roar,0
57,song make want drink bleach,0
58,really hardcore,0
59,short com a it of xxx,1
60,follow watch video follow watch video follow watch video follow watch video follow watch video follow watch video follow watch video,1
61,sorry katy perry weird still love it,0
62,big fan song video awesome,0
63,katy perry stop done song done like,0
64,go channel check written song,1
65,like goblin got syndrome support community alone we facebook com gorlingoltzsupport,1
66,subscribe a gonna hear roar,1
67,opinion think look better black hair blond hair,0
68,loved amazing org eye,0
69,please help give son grave we found me com bishopsgravemarker please share feb page one anymore,1
70,gonna hear roar,0
71,follow it twitter com of allows outputs,1
72,finish dissertation laugh face finish rotary,0
73,old whore,0
74,please share help friend we found me com forms thank much,1
75,rotary,0
76,look fun good song,0
77,check kids song awesome guarantee,1
78,love katy,0
79,loved much get stand fear,0
80,click itunes code short com a lavish a,1
81,katy perry inspirational singer voice awesome loved much achieved music history believe guy could take min go channel watch first video would greatly thankful to guy a katy still awesome too,1
82,hi guy sell jack daniel hard back cover case iphone a old time dollar ebay we ebay com it page name str myself amp trifid a a,1
83,facebook com story pop story bid amp id amp ref stream of,1
84,subscribe,1
85,cute,0
86,think drunk shot first half video sec half come boob magically bigger beautiful suddenly dude practically vanishes,0
87,roar without doubt best song feel good song message everyone good job katy,0
88,great mother jungle sweet natural like video,0
89,we a org tech vote view vote sheldon please guy give star thanks advance,1
90,katy conqueror khaki it,0
91,check video please hate give one opportunity,1
92,wow nice congratulation live much in proton all com sport news zimbabwe team due dhaka wednesday,1
93,billion people earth stop dumb,0
94,love shit disliked suck,0
95,hey guy really want go katy perry concert in contest need lot like in loosing please could like picture would nice thank really want go concert we facebook com sex and photo type amp theatre,1
96,video inaccurate tiger would rip face,0
97,great video great artist katy perry admire creativity check channel nonsense mobile tech review comparison well iphone plus review comparison,1
98,real animal,0
99,hey guy please subscribe channel gonna filming video hope guy like thank much support too leah it,1
100,maybe best music video last year pop music done folk,0
101,love katy perry it it,0
102,boob,0
103,really understand million view low hating anything confusing,0
104,almost katy birthday october the let say happy birthday katy,0
105,katy perry looking so pretty damn cute,0
106,great song go katy,0
107,to over it,0
108,telephone,0
109,comment randomly get lot like reply reason also like jello strawberry jello,0
110,hey guy made amazing smiley shirt thing wear expression important remember statistic world measure warmth smile big fan shirt want get happiness perfect check buy we tee spring com smiley thanks guy much,1
111,really want video get billion view would amazing,0
112,katy voice gold video really brings lyric life rapper subscriber thumb hate take shit water splash nut,1
113,started hating katy perry finding stole idea video old comic book yet music catchy,0
114,song million view million people world,0
115,katy perry garbage hanna best singer world,0
116,we reverb nation com slick nick song,1
117,katy perry part katy perry firework katy perry love,0
118,song good got overplayed hell radio,0
119,see human folly right,0
120,great song,0
121,awe sum song jus lug,0
122,watch video xxx,1
123,please check acoustic cover channel thanks,1
124,imagine news crazy woman found acting like tiger bit jim ear,0
125,self alert,0
126,going hear roar sounds sunday,0
127,shit,0
