,CONTENT,CLASS
0,lovely girl talk xxx,1
1,always end coming back songbr,0
2,sister received new relnofollow classothashtag youtube view right thing used pimpmyviews com,1
3,cool,0
4,hello iam palastine,1
5,wow video almost billion view didnt know popular,0
6,go check rapping video called four wheel please,1
7,almost billion,0
8,aslamu lykum pakistan,1
9,eminem idol people espaa mexico latinoamerica,0
10,help get sub please,1
11,love song,0
12,alright lady like song check john rage he smoking hot rapper coming game he better eminem lyrically he hotter hear song channel,1
13,perfect example abuse husband thing im feminist definitely agree song wellif see someone going die sayin,0
14,boyfriend charlie tv show lost,0
15,,1
16,take look video youtube,1
17,check channel nice beat,1
18,rihanna eminem together unstoppable,0
19,check playlist youtube,1
20,song rape cheating br br br br br br br br br br basically,0
21,like please,1
22,love song cant believe year ago doesnt get old though,0
23,omg look like piece mirror harry potter deathly hallowsbr either house sirius black,0
24,shared first song quoti want youquot hope youll like take listen,1
25,come check musicim spamming load video try get music across new people,1
26,check playlist youtube,1
27,huh hyuck hyuck im special who watching im australia something give attention please im rapper dream im gonna share google plus im cool,1
28,exactly u want bewatching favourite rapper tv,0
29,rihanna absolutely gorgeous video,0
30,check video youtubebr br love song good never go back ill always remember passion never want go back dysfunctional insanity goal live happy live insane,1
31,dont love someone soo much love way u lie,0
32,one best song music history,0
33,check playlist youtube,1
34,check video youtube,1
35,check video youtube,1
36,noi hate way u lie,0
37,fuck eminem bieber best lt,0
38,check playlist youtubechcfcvzfzfbvzdr,1
39,check playlist youtube,1
40,im gonna share little ryhme canibus blow eminem away quadrillion time especially category intelligent thing mind learned rapped forgot eminem spit first rymeluv ya linz e,1
41,check video youtube,1
42,check video youtubebr br br,1
43,check new remix br click click,1
44,check playlist youtube,1
45,personally never abusive relationship probably never dont hit woman mom dad used hit mom left relate im writing one moment subscribe hear every fan count,1
46,love,0
47,haha cant believe many kid listen eminem kid know drug end high jail wonder never ended od,0
48,plese subscribe,1
49,check video youtube,1
50,aye homies check remix cent life line started youtube channel way working hard give u feed back latest song guy think like show support,1
51,nd best song im gone mampm,0
52,check video youtube,1
53,go eminem,0
54,eminem rihanna sing song well,0
55,subscribe secret video,1
56,check video youtube,1
57,check video youtubebut im rhinnah,1
58,subscribe clean eminem,1
59,hey youtubers really appreciate took time read year old boy want successful musician music world dont money advertise channel could visit channel comment video subscribe would great second life thank u people gave chance l really appreciate,1
60,love way lie quot,0
61,check video youtube,1
62,guy win dollar sleeping love planet full retard,1
63,check cover song,1
64,check video youtube,1
65,goot,0
66,im still listening,0
67,watched eminem video beat afraid,0
68,check channel funny skit thanks,1
69,hahahahah like vine subscribe daily vine,1
70,please read please country singer trying become someone would like video please type boy round country girl computer wasting tear et please subscribe like,1
71,check video youtube,1
72,guy share video must view share facebook group page,1
73,check eminem rap god lyric video,1
74,love song,0
75,rihana love,0
76,like comment type,1
77,charlie lostbr,0
78,fuck cheat megan fox,0
79,megan fox,0
80,love music,0
81,like comment type,1
82,,0
83,hothot,0
84,check video youtube,1
85,wow justin bieber better thats buy medication always share half wited money alfred sadly enough attention hog swamp as eating disorder filled sassy mouse flaming hot cheetos eat power samurman,1
86,fucking song like oreo white part good,0
87,near one eminems actual best song real fan know im talking untitled cold wind blow welcome hell elevator business wtp almost famous life rock bottom apology song dance without way toy soldier mosh insane lt song top head thats better,0
88,finally someone share opinion ive tried really hard like gangnam style cant dont even get dance either song like popular gangnam style least make sense,1
89,check new hot video dante b called riled,1
90,check new hot video dante b called riled,1
91,still listeningstill pleasure,0
92,facebook password hack facebookpasshackblogspotcom working software hacking facebook password free download break password minute virus free detail free download please visit facebookpasshackblogspotcom,1
93,love,0
94,time past fast,0
95,hey everyone im dakoda bigelow im year old singer rapper producer ive gained view far really need view like subscriber order make check brand new music video song gone also check new song called deaf moment time would greatly appreciated wont regret please thumb people see thanks support,1
96,fuck yeah,0
97,eminem ginius stop,0
98,rap cool rihanna sttuupid,0
99,gonna stand hear cry,0
100,love,0
101,feel emotion songgod damn,0
102,u go check j rant vi eminem,1
103,megan fox eminem together video doesnt get better,0
104,check video youtube relnofollow classothashtag relnofollow classothashtag relnofollow classothashtag relnofollow classothashtag,1
105,yo know nobody probably even read im gonna type way hope least one person im rapper dream know there like k world please check music subscribe want thanks would love nothing decent following youtube anyone reading could press quotthumbs upquot people see simple button press could make dream come true thank,1
106,best song,0
107,subscribe feed,1
108,everyone go share youtu bearkglzjqup fbtwitterg vote eminem become artist year first ever youtube music award get method cheat internet roulette eminems video shady artist year,1
109,check em dope new song monster watchvwgkmxnym mmlp ftw,1
110,check sexy video,1
111,check sexy video,1
112,charlie lost,0
113,anyone else notice megan fox video,0
114,need instagram follower photo like check igblastcom get em minute,1
115,check new hot video dante b called riled,1
116,check new hot video dante b called riled,1
117,yo know nobody probably even read imma type way hope least one person im rapper dream know there like k world please check music subscribe want thanks would love nothing decent following youtube anyone reading could press quotthumbs upquot people see simple button press could make dream come true thank,1
118,youtubecomwatchvasfnshghkampfeatureyoutube please check song looking feedback supporter,1
119,watch video subscribe,1
120,subscribe daily vine,1
121,love,0
122,hay dakota u earned subscribee,1
123,listencheck andrew guasch crazy sick flowim dopethats like subscribe ill aftermath tde soon enough one love peace,1
124,check new hot video dante b called riled,1
125,hate rap like song,0
126,love way lie driveshaft,0
127,,0
128,view near,0
129,guy check extraordinary website called firepacom make money online start working home today making per month firepacom visit firepacom check lake chillpal sturdy astauand johackle chorenn ethosien changeable public noxu ploosnar looplab hoppler delicious false scitenoa locobot heartbreaking thirsty reminiscent,1
130,song nice,0
131,guy check extraordinary website called firepacom make money online start working home today making per month firepacom visit firepacom check lake busyglide sasaroo sore chillpal axiomatic naperone mere undesirable agreeable encouraging imperfect roasted insidious modgone quickest trelod keen fresh economic bocilile,1
132,sick music sick female,0
133,guy check extraordinary website called moneygqcom make money online start working home today making per month moneygqcom visit moneygqcom check lake victorious luxuriant alcoholic responsible unbiased yoffa ociramma ociramma handsome arrowgance mizuxe boaconic sophisticated illfated spourmo chubby hioffpo probable singlewave,1
134,love trop fort votre clip,0
135,guy check extraordinary website called moneygqcom make money online start working home today making per month moneygqcom visit moneygqcom check lake waratel misty exciting swoquix acaer chillpal tupacase arrowgance lively hard idiotic bored cool ablaze crabby aloidia cheilith feandra useless ploosnar,1
136,guy check extraordinary website called moneygqcom make money online start working home today making per month moneygqcom visit moneygqcom check lake ignorant wavefire reiltas astauand skizzle jovaphile swooflia grynn excellent slimy gabby nalpure lucky glozzom depressed better deep sinpad stereotyped toximble,1
137,eminem et rihana trop belle chanson,0
138,song better monster eminem,0
139,good boybr krean like eminem,0
140,wonderful,0
141,guy check extraordinary website called moneygqcom make money online start working home today making per month moneygqcom visit moneygqcom check lake magnificent noodile unequaled moderock gogopo lulerain olielle zesty laughable accidental pepelexa delightful wiry toogit uncovered chesture woozy adhoc weak shallow,1
142,share eminems artist year video win could see performance acceptance speech like comment everyone see year eminem,1
