,CONTENT,CLASS
0,nice song,0
1,love song,0
2,love song,0
3,let make first female reach one billion share replay,0
4,shaking best world up,0
5,best world cup song ever,0
6,love,0
7,see song open google type shaking guru movie,1
8,awesome,0
9,like shaking,0
10,shaking wake wake by love song,0
11,many disliked,0
12,think song ever get old,0
13,love song,0
14,were good,0
15,every time hear song think incest goal netherlands,0
16,whose watching hi,0
17,love song much it by keep pm coming,0
18,love song thumbs,0
19,wake best one,0
20,year later still love song by any,0
21,like,0
22,check playlist youtube,1
23,voice sound weird plus cute blonde,0
24,many dislike song awesome sound like must stop racist could would like time,0
25,nice love it work,0
26,still watching,0
27,shaking favourite singer woo,0
28,remember song,0
29,like,0
30,whose watching like,0
31,support fight the amendment right privacy home stop asa spying american in patriot act renewal rand paul spent hour senate floor protest filibuster fighting constitution nation founded join fight rand paul dot com spread word someone care nation email senator congress men woman tell support rand tell news support rand senator rand paul we youtube com watch a free demo amp passed saturday morning fighting constitution buy postponing vote week constitution matter join rand fight protect it it privacy home business senator rand paul we youtube com watch a free demo amp passed saturday morning fighting constitution buy postponing vote week constitution matter a help rand protect joining fright,1
32,best song world,0
33,beautiful,0
34,good song,0
35,awesome entertainer pretty it shaking,0
36,check video youtube,1
37,love song,0
38,love song soccer team made cd couch song,0
39,fave song,0
40,watching,0
41,felt old realized song year old,0
42,love shaking,0
43,one best song time,0
44,really madly love woman,0
45,totally love song absolutely fantastic love a shaking,0
46,in still watching,0
47,song sad,0
48,good,0
49,best fife world cup song sure,0
50,nice a do shaking good,0
51,copy us past by add by add by have a by delete space,1
52,see by add by add by have a,1
53,wake wake,0
54,beautiful american,0
55,thumb watching,1
56,love hissing,0
57,subscribe please promise sub back,1
58,lamest world cup song ever time africa mean africa live aid event something made seem like charity case instead proud moment whereas ricky martin needed sch,0
59,friend sam love song,0
60,check video youtube,1
61,love,0
62,help shaking become first female hit billion view decided watch video least one day everyday shaw fans a close hit replay button,0
63,love shaking,0
64,cool best song ever,0
65,org listen so good,0
66,uncle said stop smoking comment get like please like comment thanks,1
67,nice song,0
68,wake wake,0
69,super music,0
70,could a people dislike song video,0
71,love,0
72,swear shaking keep getting gorgeous definitely look gorgeous hair way super curly,0
73,youtube comment like by year ago,0
74,piss bit blank space view min meh,0
75,best,0
76,love a,0
77,love shaking,0
78,song special song africa african,0
79,it song much shaking really good artist,0
80,love shaking by,0
81,definitely song in listening gypsy shaking rock by span class profile wrapper span class profile prefix span class pro link plus google com did shaker ave span,1
82,remember tournament like today,0
83,thank please give email,1
84,beautiful,0
85,like,0
86,shaking beautiful lovely lively love,0
87,great,0
88,best world cup song,0
89,fuck best ever number patrick flu vert son share,1
90,song beauty,0
91,heard year old still love,0
92,nice song,0
93,wake wake,0
94,of god go billion replay love shaking,0
95,love,0
96,love song amp love shaking it,0
97,yea still best we song ever by thumb think by,1
98,liked by,0
99,like song,0
100,like,0
101,wake wake,0
102,amazing song,0
103,cool song,0
104,love a shaking,0
105,wake wake,0
106,song suck,0
107,low love song,0
108,shaking,0
109,subscribe channel recording fife goal watch,1
110,wow year by,0
111,subscribe will subscribe back,1
112,best singer,0
113,year soon,0
114,like,0
115,wander fol love music,0
116,wake wake,0
117,best song ever a,0
118,pleasant hear hama good,0
119,love,0
120,wow,0
121,wake wake he he,0
122,cutie girl beautiful song,0
123,love shirt,0
124,believe soccer promotes terrorism bad choice shaking,0
125,loved song teenage year,0
126,lip synch terrible,0
127,shaking different happy time spending africa by dance sing speaks language,0
128,gustavo lima voc a connect by check,1
129,best world cup official song,0
130,year ago damn,0
131,nice,0
132,help shaking wake wake first song female artist reach billion view by dark horse ahead roughly million view roar million view by we youtube com watch a free demo we youtube com watch a free demo,1
133,like,0
134,shaking song wake wake,0
135,underrated better by katy perry saying katy bad meaning song shaking by meaningful song song bring memory vibe miss by,0
136,love song expect world cup,0
137,good time,0
138,make happy instantly make forgot everything bad happening,0
139,love song much one faves xxx,0
140,hi nice song shaking sorry bad brazilian,0
141,best song go shake,0
142,shit so auto tuned,0
143,still listening,0
144,sexy shaking,0
145,love sharia,0
146,aunt love song,0
147,subscribed by,1
148,check playlist youtube by,1
149,top shaking song choice by by wake wake time africa by by remember forget by by empire by by like comment a like shaking,1
150,check video youtube,1
151,check playlist youtube central,1
152,could take time amp spare min read thank by by in rapper gonna honest there thousand maybe even million by by world many ambition dedication amp passion by by money huge youtube advertisement incredible music video by by in left comment expose music by by could take moment give chance ill make believer by by would love nothing loyal following youtube anyone by by read could press quot thumb quot others see by by help push closer dream thank,1
153,please visit channel,1
154,plea subscribe channel game zeta,1
155,plea subscribe channel,1
156,plea subscribe games meta channel by,1
157,cool song check animal trafficking petition by we repetition site com stop animal trafficking cid header click we repetition site com stop animal trafficking cid header click,1
158,check video youtube,1
159,subscribe win cap by,1
160,check playlist youtube,1
161,hey guy love check girl name cause know dance search of a dancing,1
162,want win money home click we adverts com ref siam we adverts com ref siam work,1
163,brazil please subscribe channel love,1
164,could spanish people understand by by way subscribe brake thing by by,1
165,plea subscribe channel pizz,1
166,check video youtube,1
167,new way make money easily spending minute daily it we adverts com ref marius we adverts com ref marius,1
168,beautiful song please subscribe,1
169,channel get subscriber make happen,1
170,really love watching football also started making income financial risk acquiring bonus deal weird technique wager something one bookmaker bet be fair secure bonus income chap named jim van stone finding wager free website van stone secret google made quid thus far cost free guess bookie pay obtain new consumer yet actually work,1
